station,date,date_yyyy-mmm,daily_max_temperature,daily_mean_temperature,daily_min_temperature
CCH,2023-01-01,2023-Jan,19.6,15.6,12.9
CCH,2023-01-02,2023-Jan,21.3,17.3,15.4
CCH,2023-01-03,2023-Jan,18.3,15.6,14.2
CCH,2023-01-04,2023-Jan,21.3,16.3,14.2
CCH,2023-01-05,2023-Jan,22.1,17.3,15.1
CCH,2023-01-06,2023-Jan,24.9,18.2,15.2
CCH,2023-01-07,2023-Jan,23.1,17.8,15.9
CCH,2023-01-08,2023-Jan,19.3,17.9,16.7
CCH,2023-01-09,2023-Jan,21.4,18.5,17.4
CCH,2023-01-10,2023-Jan,17.6,16.8,16.1
CCH,2023-01-11,2023-Jan,19,16.8,15.4
CCH,2023-01-12,2023-Jan,19.7,18.5,17.2
CCH,2023-01-13,2023-Jan,20.9,20,18.9
CCH,2023-01-14,2023-Jan,25.5,21.3,18.8
CCH,2023-01-15,2023-Jan,19.9,16.6,11.4
CCH,2023-01-16,2023-Jan,12.2,10.7,9.5
CCH,2023-01-17,2023-Jan,14.1,11.4,9.5
CCH,2023-01-18,2023-Jan,19.8,13.3,9.7
CCH,2023-01-19,2023-Jan,21.5,14.8,10.3
CCH,2023-01-20,2023-Jan,21.5,16.4,14.1
CCH,2023-01-21,2023-Jan,19,15.9,15
CCH,2023-01-22,2023-Jan,21.6,17.5,15.7
CCH,2023-01-23,2023-Jan,22.5,17.8,15.4
CCH,2023-01-24,2023-Jan,17.9,14.1,10.5
CCH,2023-01-25,2023-Jan,15,11.6,9.4
CCH,2023-01-26,2023-Jan,18.8,14.7,11.2
CCH,2023-01-27,2023-Jan,17.3,14.1,11.1
CCH,2023-01-28,2023-Jan,16.8,11.9,9
CCH,2023-01-29,2023-Jan,19.3,11.9,8
CCH,2023-01-30,2023-Jan,20.1,13.7,8.8
CCH,2023-01-31,2023-Jan,21.6,16.5,12
CCH,2023-02-01,2023-Feb,24.7,18.8,15.6
CCH,2023-02-02,2023-Feb,21.1,18.1,15.8
CCH,2023-02-03,2023-Feb,19.9,16.9,15.7
CCH,2023-02-04,2023-Feb,18.3,16.5,15.3
CCH,2023-02-05,2023-Feb,18.7,17.1,16
CCH,2023-02-06,2023-Feb,21.7,18.3,16.7
CCH,2023-02-07,2023-Feb,21.9,19.1,17.3
CCH,2023-02-08,2023-Feb,19.1,17.6,16.4
CCH,2023-02-09,2023-Feb,23,18.2,16.5
CCH,2023-02-10,2023-Feb,23.6,19.6,18.1
CCH,2023-02-11,2023-Feb,20.6,18.6,17.7
CCH,2023-02-12,2023-Feb,23.2,20.2,18.6
CCH,2023-02-13,2023-Feb,26.3,21.3,19
CCH,2023-02-14,2023-Feb,20.4,17,15.1
